<DTYYYYMMDD>,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
2021-12-28,Parsian.Bank,1940.0,1983.0,1926.0,1943.0,45112346026,23056141,909,D,1935.0,1969.0
2021-12-27,Parsian.Bank,1920.0,1988.0,1920.0,1935.0,60598556394,31134093,982,D,1923.0,1947.0
2021-12-26,Parsian.Bank,1980.0,1980.0,1874.0,1923.0,86718840902,45365523,3097,D,1955.0,1935.0
2021-12-25,Parsian.Bank,2008.0,2008.0,1922.0,1955.0,70722051841,35612231,1308,D,1913.0,1960.0
2021-12-22,Parsian.Bank,1908.0,1962.0,1869.0,1913.0,65830345458,33741749,932,D,1869.0,1962.0
2021-12-21,Parsian.Bank,1879.0,1918.0,1855.0,1869.0,45077057828,23914162,794,D,1859.0,1888.0
2021-12-20,Parsian.Bank,1843.0,1919.0,1843.0,1859.0,81927075860,43908877,1424,D,1843.0,1854.0
2021-12-19,Parsian.Bank,1825.0,1870.0,1800.0,1843.0,47838761448,26140517,1236,D,1853.0,1803.0
2021-12-18,Parsian.Bank,1850.0,1895.0,1811.0,1853.0,51111984814,27523810,1218,D,1850.0,1857.0
2021-12-15,Parsian.Bank,1869.0,1900.0,1781.0,1850.0,47799252900,26207578,1048,D,1869.0,1808.0
2021-12-14,Parsian.Bank,1808.0,1894.0,1805.0,1869.0,43843936348,24067192,1230,D,1900.0,1824.0
2021-12-13,Parsian.Bank,1869.0,1933.0,1838.0,1900.0,47753491943,25747576,1010,D,1934.0,1838.0
2021-12-12,Parsian.Bank,1903.0,1935.0,1869.0,1934.0,40971353402,21853245,967,D,1967.0,1890.0
2021-12-11,Parsian.Bank,1950.0,1999.0,1920.0,1967.0,35139298048,18108259,950,D,1978.0,1922.0
2021-12-08,Parsian.Bank,1941.0,2055.0,1940.0,1978.0,55112872920,27698902,1169,D,1968.0,1990.0
