<DTYYYYMMDD>,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
2021-12-28,S*Tejarat.Bank,1952.0,1973.0,1900.0,1959.0,140107904357,71515538,2587,D,1963.0,1968.0
2021-12-27,S*Tejarat.Bank,1989.0,2015.0,1921.0,1963.0,223563740135,113916605,4534,D,1941.0,1948.0
2021-12-26,S*Tejarat.Bank,1958.0,1979.0,1898.0,1941.0,563510100461,290254850,6947,D,1996.0,1971.0
2021-12-25,S*Tejarat.Bank,1998.0,2038.0,1939.0,1996.0,567910218686,284457274,8449,D,1941.0,1949.0
2021-12-22,S*Tejarat.Bank,1882.0,1950.0,1882.0,1941.0,357613376123,184255684,3672,D,1858.0,1950.0
2021-12-21,S*Tejarat.Bank,1840.0,1884.0,1840.0,1858.0,230527246734,124100894,3516,D,1803.0,1855.0
2021-12-20,S*Tejarat.Bank,1761.0,1806.0,1761.0,1803.0,498863939142,276741635,6295,D,1720.0,1806.0
2021-12-19,S*Tejarat.Bank,1770.0,1779.0,1690.0,1720.0,109237316460,63663873,2561,D,1758.0,1700.0
2021-12-18,S*Tejarat.Bank,1700.0,1770.0,1700.0,1758.0,244511202794,139078375,3865,D,1686.0,1759.0
2021-12-15,S*Tejarat.Bank,1717.0,1720.0,1662.0,1686.0,93238532524,55301490,2323,D,1683.0,1671.0
2021-12-14,S*Tejarat.Bank,1670.0,1729.0,1631.0,1683.0,146716470219,87162007,3006,D,1691.0,1698.0
2021-12-13,S*Tejarat.Bank,1760.0,1765.0,1665.0,1691.0,198025818607,117080038,4228,D,1752.0,1666.0
2021-12-12,S*Tejarat.Bank,1800.0,1800.0,1729.0,1752.0,107387603689,61459414,2547,D,1805.0,1748.0
2021-12-11,S*Tejarat.Bank,1811.0,1851.0,1780.0,1805.0,140885355227,78054635,3204,D,1809.0,1790.0
2021-12-08,S*Tejarat.Bank,1781.0,1838.0,1772.0,1809.0,155253784352,85804806,3467,D,1790.0,1809.0
2021-12-07,S*Tejarat.Bank,1785.0,1805.0,1771.0,1790.0,92578044091,51912691,2633,D,1818.0,1778.0
2021-12-06,S*Tejarat.Bank,1785.0,1850.0,1785.0,1818.0,146624350769,80633506,3371,D,1805.0,1797.0
2021-12-05,S*Tejarat.Bank,1780.0,1849.0,1777.0,1805.0,170083666180,94246998,3891,D,1820.0,1806.0
2021-12-04,S*Tejarat.Bank,1888.0,1919.0,1794.0,1820.0,259534031457,142583228,4950,D,1888.0,1806.0
2021-12-01,S*Tejarat.Bank,1900.0,1947.0,1840.0,1888.0,424829550816,224989595,8093,D,1857.0,1905.0
2021-11-30,S*Tejarat.Bank,1790.0,1869.0,1790.0,1857.0,278967127436,150187969,4045,D,1780.0,1869.0
2021-11-29,S*Tejarat.Bank,1799.0,1810.0,1740.0,1780.0,132712886119,74552753,3124,D,1785.0,1770.0
2021-11-28,S*Tejarat.Bank,1768.0,1820.0,1760.0,1785.0,131968863890,73917270,3555,D,1788.0,1790.0
2021-11-27,S*Tejarat.Bank,1831.0,1860.0,1770.0,1788.0,206364453545,115412946,4659,D,1863.0,1770.0
2021-11-24,S*Tejarat.Bank,1900.0,1901.0,1848.0,1863.0,207884174140,111586002,4113,D,1919.0,1860.0
2021-11-23,S*Tejarat.Bank,1959.0,1965.0,1894.0,1919.0,226750738302,118144950,4460,D,1966.0,1898.0
2021-11-22,S*Tejarat.Bank,1935.0,1974.0,1913.0,1966.0,514163651818,261542836,6436,D,1880.0,1955.0
2021-11-21,S*Tejarat.Bank,1821.0,1925.0,1821.0,1880.0,230614917298,122696340,4570,D,1861.0,1898.0
2021-11-20,S*Tejarat.Bank,1920.0,1925.0,1837.0,1861.0,187016776559,100481093,4613,D,1933.0,1841.0
