<DTYYYYMMDD>,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
2021-12-28,Khouz..Steel,6800.0,6810.0,6560.0,6690.0,44710726150,6688840,838,D,6700.0,6680.0
2021-12-27,Khouz..Steel,6850.0,6900.0,6650.0,6700.0,64525677350,9577400,1033,D,6650.0,6700.0
2021-12-26,Khouz..Steel,6590.0,6860.0,6400.0,6650.0,66180537560,9887057,1108,D,6600.0,6770.0
2021-12-25,Khouz..Steel,6740.0,6840.0,6580.0,6600.0,43607630150,6513263,1173,D,6550.0,6620.0
2021-12-22,Khouz..Steel,6480.0,6600.0,6470.0,6550.0,109220338200,16570210,1143,D,6290.0,6600.0
2021-12-21,Khouz..Steel,6300.0,6470.0,6260.0,6290.0,41336280760,6494998,647,D,6260.0,6430.0
2021-12-20,Khouz..Steel,6240.0,6420.0,6210.0,6260.0,58597346540,9308842,904,D,6220.0,6300.0
2021-12-19,Khouz..Steel,6230.0,6240.0,6060.0,6220.0,39646910410,6434606,807,D,6250.0,6150.0
2021-12-18,Khouz..Steel,6200.0,6400.0,6180.0,6250.0,67844670240,10765323,1006,D,6180.0,6280.0
2021-12-15,Khouz..Steel,6280.0,6300.0,6110.0,6180.0,41955286380,6781681,732,D,6180.0,6180.0
2021-12-14,Khouz..Steel,6000.0,6310.0,5950.0,6180.0,81148068450,13143458,1206,D,6180.0,6170.0
2021-12-13,Khouz..Steel,6300.0,6360.0,6000.0,6180.0,60659273190,10006964,1404,D,6310.0,6000.0
2021-12-12,Khouz..Steel,6240.0,6380.0,6120.0,6310.0,39218442160,6319022,1462,D,6360.0,6380.0
2021-12-11,Khouz..Steel,6370.0,6470.0,6300.0,6360.0,18905107410,2974767,705,D,6360.0,6330.0
2021-12-08,Khouz..Steel,6410.0,6430.0,6280.0,6360.0,34814668510,5460192,1006,D,6360.0,6390.0
2021-12-07,Khouz..Steel,6430.0,6430.0,6250.0,6360.0,21735305220,3429024,647,D,6360.0,6380.0
2021-12-06,Khouz..Steel,6400.0,6470.0,6220.0,6360.0,22886507290,3612641,772,D,6370.0,6350.0
2021-12-05,Khouz..Steel,6350.0,6550.0,6300.0,6370.0,68407262530,10718156,1028,D,6350.0,6460.0
2021-12-04,Khouz..Steel,6220.0,6490.0,6220.0,6350.0,44085683430,6956259,1043,D,6350.0,6350.0
2021-12-01,Khouz..Steel,6400.0,6440.0,6130.0,6350.0,56527945910,9058210,1794,D,6450.0,6280.0
2021-11-30,Khouz..Steel,6360.0,6470.0,6340.0,6450.0,34758079570,5434823,908,D,6470.0,6360.0
2021-11-29,Khouz..Steel,6480.0,6600.0,6380.0,6470.0,32421574990,5041463,826,D,6480.0,6420.0
2021-11-28,Khouz..Steel,6330.0,6570.0,6300.0,6480.0,62755505670,9701916,1061,D,6490.0,6400.0
2021-11-27,Khouz..Steel,6370.0,6460.0,6310.0,6490.0,46731685230,7332848,1141,D,6560.0,6370.0
2021-11-24,Khouz..Steel,6700.0,6710.0,6450.0,6560.0,70153240950,10711449,1242,D,6580.0,6520.0
2021-11-23,Khouz..Steel,6600.0,6690.0,6520.0,6580.0,34163020280,5180316,1039,D,6580.0,6610.0
2021-11-22,Khouz..Steel,6700.0,6730.0,6580.0,6580.0,63759957330,9587955,1291,D,6510.0,6700.0
2021-11-21,Khouz..Steel,6420.0,6690.0,6420.0,6510.0,82908083700,12674206,1528,D,6430.0,6660.0
2021-11-20,Khouz..Steel,6690.0,6690.0,6370.0,6430.0,130327472810,20280964,2457,D,6690.0,6400.0
2021-11-17,Khouz..Steel,6730.0,6830.0,6580.0,6690.0,64421582300,9665599,1672,D,6720.0,6650.0
2021-11-16,Khouz..Steel,6700.0,6900.0,6560.0,6720.0,77972319060,11624094,1870,D,6750.0,6600.0
2021-11-15,Khouz..Steel,7070.0,7070.0,6700.0,6750.0,230278508260,34101080,3489,D,7050.0,6720.0
2021-11-14,Khouz..Steel,6950.0,7070.0,6950.0,7050.0,402603560020,57100000,5982,D,6740.0,7000.0
2021-11-13,Khouz..Steel,6750.0,6860.0,6680.0,6740.0,89552309030,13252824,1574,D,6680.0,6770.0
2021-11-03,Khouz..Steel,15830.0,16290.0,15790.0,16040.0,263948239890,16454449,3369,D,15790.0,16170.0
2021-11-02,Khouz..Steel,15940.0,16000.0,15680.0,15790.0,92926949510,5868424,1393,D,15610.0,15840.0
2021-11-01,Khouz..Steel,15400.0,15950.0,15400.0,15610.0,79368989070,5043459,1453,D,15330.0,15660.0
2021-10-31,Khouz..Steel,15680.0,15990.0,15200.0,15330.0,233843490000,15252884,2543,D,15990.0,15400.0
2021-10-30,Khouz..Steel,16020.0,16390.0,15690.0,15990.0,143783164770,8990603,2001,D,16100.0,16070.0
2021-10-27,Khouz..Steel,16090.0,16400.0,15900.0,16100.0,115211807590,7154903,1574,D,15970.0,15960.0
2021-10-26,Khouz..Steel,15800.0,16150.0,15800.0,15970.0,144316421450,9037580,1726,D,15900.0,16000.0
2021-10-25,Khouz..Steel,15900.0,16190.0,15760.0,15900.0,171583300120,10789524,2077,D,16130.0,15850.0
2021-10-23,Khouz..Steel,16670.0,16680.0,15970.0,16130.0,252386382550,15649039,2375,D,16660.0,16120.0
2021-10-20,Khouz..Steel,17000.0,17020.0,16320.0,16660.0,101292831320,6100462,1468,D,16880.0,16400.0
2021-10-19,Khouz..Steel,16930.0,17300.0,16790.0,16880.0,87820851120,5176893,1377,D,16700.0,16970.0
2021-10-18,Khouz..Steel,16250.0,17000.0,16100.0,16700.0,218247412230,13070655,2206,D,16560.0,16920.0
2021-10-17,Khouz..Steel,17240.0,17240.0,16340.0,16560.0,152417604760,9203857,2062,D,16490.0,16480.0
2021-10-16,Khouz..Steel,16150.0,16500.0,16150.0,16490.0,145738996930,8839353,856,D,15720.0,16500.0
2021-10-13,Khouz..Steel,15600.0,16200.0,15580.0,15720.0,150677808520,9587666,1836,D,15860.0,15890.0
