<DTYYYYMMDD>,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
2021-12-28,S*Mobarakeh.Steel,11090.0,11090.0,10820.0,10960.0,637999439450,58207314,7189,D,11100.0,10970.0
2021-12-27,S*Mobarakeh.Steel,11000.0,11240.0,10870.0,11100.0,1174308082290,105818947,11795,D,10710.0,10960.0
2021-12-26,S*Mobarakeh.Steel,10590.0,10950.0,10450.0,10710.0,769932276850,71882370,8826,D,10810.0,10910.0
2021-12-25,S*Mobarakeh.Steel,10800.0,11060.0,10580.0,10810.0,1028243353060,95133663,13112,D,10550.0,10630.0
2021-12-22,S*Mobarakeh.Steel,10300.0,10620.0,10210.0,10550.0,1202956716160,114037521,9305,D,10120.0,10620.0
2021-12-21,S*Mobarakeh.Steel,9960.0,10230.0,9960.0,10120.0,693792806600,68536996,5995,D,9950.0,10170.0
2021-12-20,S*Mobarakeh.Steel,9920.0,10060.0,9830.0,9950.0,629590672430,63269962,6417,D,9700.0,9960.0
2021-12-19,S*Mobarakeh.Steel,9910.0,9990.0,9590.0,9700.0,420690620270,43384852,6730,D,9950.0,9680.0
2021-12-18,S*Mobarakeh.Steel,9910.0,10070.0,9880.0,9950.0,422256697210,42451768,6070,D,9870.0,9930.0
2021-12-15,S*Mobarakeh.Steel,9850.0,10100.0,9770.0,9870.0,412129633110,41755901,8472,D,9850.0,9840.0
2021-12-14,S*Mobarakeh.Steel,9670.0,10020.0,9630.0,9850.0,659248406760,66947017,7942,D,9790.0,9900.0
2021-12-13,S*Mobarakeh.Steel,10090.0,10190.0,9620.0,9790.0,1309343954410,133774229,15950,D,10120.0,9620.0
2021-12-12,S*Mobarakeh.Steel,10300.0,10300.0,10050.0,10120.0,515191744430,50932531,5566,D,10410.0,10120.0
2021-12-11,S*Mobarakeh.Steel,10540.0,10600.0,10320.0,10410.0,405066125380,38903883,5344,D,10460.0,10350.0
2021-12-08,S*Mobarakeh.Steel,10260.0,10650.0,10260.0,10460.0,532025543280,50875004,7184,D,10260.0,10480.0
2021-12-07,S*Mobarakeh.Steel,10170.0,10370.0,10130.0,10260.0,375099099720,36566182,5121,D,10270.0,10280.0
2021-12-06,S*Mobarakeh.Steel,10350.0,10380.0,10160.0,10270.0,392663069250,38216266,5740,D,10320.0,10190.0
2021-12-05,S*Mobarakeh.Steel,10270.0,10470.0,10210.0,10320.0,663247544490,64240048,8119,D,10100.0,10300.0
2021-12-04,S*Mobarakeh.Steel,10400.0,10420.0,9990.0,10100.0,624409014300,61827229,9648,D,10070.0,10230.0
2021-12-01,S*Mobarakeh.Steel,10080.0,10190.0,9980.0,10070.0,641740004640,63712750,9695,D,10100.0,10130.0
2021-11-30,S*Mobarakeh.Steel,10250.0,10250.0,10020.0,10100.0,569508052650,56379579,9364,D,10220.0,10020.0
2021-11-29,S*Mobarakeh.Steel,10300.0,10400.0,10120.0,10220.0,584363887680,57199650,8523,D,10300.0,10160.0
2021-11-28,S*Mobarakeh.Steel,10110.0,10450.0,10110.0,10300.0,754752495350,73268483,9904,D,10280.0,10200.0
2021-11-27,S*Mobarakeh.Steel,10350.0,10550.0,10240.0,10280.0,1192050965120,116006291,16071,D,10770.0,10240.0
2021-11-24,S*Mobarakeh.Steel,10800.0,10940.0,10690.0,10770.0,558423537610,51873959,7960,D,10910.0,10740.0
2021-11-23,S*Mobarakeh.Steel,11120.0,11130.0,10800.0,10910.0,433959061350,39776506,8463,D,11130.0,10820.0
2021-11-22,S*Mobarakeh.Steel,11180.0,11290.0,10950.0,11130.0,722011790110,64860126,10572,D,10880.0,11080.0
2021-11-21,S*Mobarakeh.Steel,10700.0,11170.0,10570.0,10880.0,1015589013680,93324728,13456,D,10690.0,11040.0
2021-11-20,S*Mobarakeh.Steel,11020.0,11190.0,10610.0,10690.0,1438134421010,134548898,17586,D,11160.0,10690.0
2021-11-17,S*Mobarakeh.Steel,11150.0,11340.0,11050.0,11160.0,597674516320,53548043,8786,D,11220.0,11200.0
2021-11-16,S*Mobarakeh.Steel,11060.0,11390.0,11060.0,11220.0,516800766400,46062879,7117,D,11280.0,11150.0
2021-11-15,S*Mobarakeh.Steel,11650.0,11660.0,11160.0,11280.0,809287914550,71773060,10567,D,11740.0,11250.0
2021-11-14,S*Mobarakeh.Steel,11750.0,11930.0,11600.0,11740.0,710444880000,60503628,9077,D,11750.0,11650.0
2021-11-13,S*Mobarakeh.Steel,11800.0,11950.0,11510.0,11750.0,724840198640,61711653,9829,D,11970.0,11690.0
2021-11-10,S*Mobarakeh.Steel,11940.0,12080.0,11800.0,11970.0,901008061090,75246306,10570,D,12010.0,12010.0
2021-11-09,S*Mobarakeh.Steel,12030.0,12200.0,11880.0,12010.0,806501814590,67165074,10873,D,11940.0,11940.0
2021-11-08,S*Mobarakeh.Steel,11710.0,12150.0,11620.0,11940.0,966600408080,80923031,11648,D,11940.0,12000.0
2021-11-07,S*Mobarakeh.Steel,12050.0,12320.0,11680.0,11940.0,1848999019230,154811384,20929,D,12290.0,11700.0
2021-11-06,S*Mobarakeh.Steel,12050.0,12480.0,12030.0,12290.0,1849620869080,150487290,21413,D,11930.0,12130.0
2021-11-03,S*Mobarakeh.Steel,11810.0,12110.0,11750.0,11930.0,1096950339960,91949372,12940,D,11670.0,12040.0
2021-11-02,S*Mobarakeh.Steel,11680.0,11840.0,11510.0,11670.0,942911578100,80821341,9937,D,11400.0,11800.0
2021-11-01,S*Mobarakeh.Steel,11200.0,11520.0,11200.0,11400.0,1042798253560,91477408,11467,D,10980.0,11380.0
2021-10-31,S*Mobarakeh.Steel,11320.0,11440.0,10770.0,10980.0,1545396383920,140709717,14748,D,11310.0,10920.0
2021-10-30,S*Mobarakeh.Steel,11700.0,11730.0,11130.0,11310.0,1086001186690,95982108,13625,D,11480.0,11700.0
2021-10-27,S*Mobarakeh.Steel,11070.0,11600.0,11040.0,11480.0,2053247627470,178922727,19469,D,11050.0,11600.0
2021-10-26,S*Mobarakeh.Steel,10800.0,11180.0,10770.0,11050.0,990346036780,89600552,10262,D,10960.0,11070.0
2021-10-25,S*Mobarakeh.Steel,10990.0,11160.0,10820.0,10960.0,990474088320,90378714,11675,D,10990.0,10870.0
2021-10-23,S*Mobarakeh.Steel,11070.0,11070.0,10800.0,10990.0,3075311302770,279919222,25408,D,10550.0,10930.0
2021-10-20,S*Mobarakeh.Steel,10620.0,10660.0,10430.0,10550.0,567244587130,53755334,6227,D,10770.0,10470.0
2021-10-19,S*Mobarakeh.Steel,10800.0,10870.0,10620.0,10770.0,560191947270,52028961,7694,D,10630.0,10630.0
2021-10-18,S*Mobarakeh.Steel,10500.0,10760.0,10400.0,10630.0,850987891140,80021213,8684,D,10600.0,10690.0
2021-10-17,S*Mobarakeh.Steel,10710.0,10950.0,10500.0,10600.0,1067060764300,100696047,11633,D,10550.0,10540.0
2021-10-16,S*Mobarakeh.Steel,10400.0,10550.0,10400.0,10550.0,998100464110,94628320,5615,D,10050.0,10550.0
2021-10-13,S*Mobarakeh.Steel,10020.0,10200.0,9970.0,10050.0,672671751620,66932409,9869,D,10070.0,10180.0
2021-10-12,S*Mobarakeh.Steel,10150.0,10250.0,9990.0,10070.0,683649281270,67893378,10131,D,10310.0,10080.0
2021-10-11,S*Mobarakeh.Steel,10300.0,10400.0,10210.0,10310.0,501169565310,48597848,7594,D,10280.0,10210.0
2021-10-10,S*Mobarakeh.Steel,10230.0,10410.0,10140.0,10280.0,455139478460,44285258,7323,D,10380.0,10310.0
2021-10-09,S*Mobarakeh.Steel,10620.0,10720.0,10260.0,10380.0,627965516340,60522468,9303,D,10670.0,10350.0
2021-10-06,S*Mobarakeh.Steel,10820.0,10840.0,10600.0,10670.0,766722013190,71842154,11121,D,10830.0,10620.0
2021-10-04,S*Mobarakeh.Steel,10890.0,10960.0,10720.0,10830.0,443535511980,40935944,7689,D,10860.0,10790.0
2021-10-03,S*Mobarakeh.Steel,10870.0,11020.0,10700.0,10860.0,705010036710,64915676,9427,D,10900.0,10890.0
2021-10-02,S*Mobarakeh.Steel,10590.0,11000.0,10590.0,10900.0,1386646483970,127159011,15429,D,10480.0,10870.0
2021-09-29,S*Mobarakeh.Steel,10410.0,10660.0,10380.0,10480.0,649826970080,61996626,10047,D,10440.0,10560.0
2021-09-28,S*Mobarakeh.Steel,10600.0,10600.0,10350.0,10440.0,455163241800,43601832,10422,D,10500.0,10490.0
2021-09-26,S*Mobarakeh.Steel,10750.0,10750.0,10350.0,10500.0,512583511180,48809259,10829,D,10550.0,10450.0
2021-09-25,S*Mobarakeh.Steel,10280.0,10600.0,10280.0,10550.0,1069930657640,101417753,16336,D,10100.0,10580.0
2021-09-22,S*Mobarakeh.Steel,10160.0,10280.0,9920.0,10100.0,999847299730,98950600,15427,D,10140.0,10280.0
2021-09-21,S*Mobarakeh.Steel,10480.0,10580.0,9980.0,10140.0,878695470420,86617042,13281,D,10480.0,10160.0
2021-09-20,S*Mobarakeh.Steel,10410.0,10590.0,10390.0,10480.0,694784135400,66306057,10858,D,10440.0,10470.0
2021-09-19,S*Mobarakeh.Steel,10450.0,10880.0,10290.0,10440.0,807092774310,77340350,13109,D,10710.0,10390.0
2021-09-18,S*Mobarakeh.Steel,11140.0,11150.0,10660.0,10710.0,1182365992900,110358481,17347,D,11220.0,10660.0
2021-09-15,S*Mobarakeh.Steel,11220.0,11330.0,11100.0,11220.0,712021835420,63440038,14600,D,11310.0,11240.0
2021-09-14,S*Mobarakeh.Steel,11200.0,11430.0,11180.0,11310.0,934316872930,82630655,13814,D,11180.0,11360.0
2021-09-13,S*Mobarakeh.Steel,11200.0,11390.0,11060.0,11180.0,1070467663800,95728347,14257,D,11260.0,11190.0
2021-09-12,S*Mobarakeh.Steel,11440.0,11450.0,11080.0,11260.0,1200061894020,106561064,17391,D,11580.0,11320.0
2021-09-11,S*Mobarakeh.Steel,11750.0,11790.0,11460.0,11580.0,1518837478070,131105853,15124,D,11600.0,11490.0
2021-09-08,S*Mobarakeh.Steel,11430.0,11800.0,11430.0,11600.0,1270161344700,109476794,21851,D,11590.0,11650.0
2021-09-07,S*Mobarakeh.Steel,11500.0,11810.0,11400.0,11590.0,1195044354610,103122623,15824,D,11800.0,11520.0
2021-09-06,S*Mobarakeh.Steel,11750.0,11950.0,11510.0,11800.0,1314885922610,111468142,17728,D,11890.0,11790.0
2021-09-05,S*Mobarakeh.Steel,12050.0,12060.0,11720.0,11890.0,696750759120,58579333,13019,D,12060.0,11890.0
2021-09-04,S*Mobarakeh.Steel,12200.0,12250.0,11920.0,12060.0,1272707357080,105516641,17378,D,12040.0,12040.0
2021-09-01,S*Mobarakeh.Steel,12000.0,12300.0,11750.0,12040.0,1218727217110,101181740,14077,D,11930.0,12110.0
2021-08-31,S*Mobarakeh.Steel,11750.0,12270.0,11570.0,11930.0,1923778199760,161311348,23380,D,12100.0,11900.0
2021-08-30,S*Mobarakeh.Steel,12450.0,12500.0,12000.0,12100.0,3794469787870,313525813,26640,D,12630.0,12000.0
2021-08-29,S*Mobarakeh.Steel,12680.0,13100.0,12350.0,12630.0,3416681016610,270492020,32565,D,12510.0,12450.0
2021-08-28,S*Mobarakeh.Steel,12420.0,12710.0,12290.0,12510.0,2128435976380,170089447,25828,D,12370.0,12650.0
2021-08-25,S*Mobarakeh.Steel,12600.0,12610.0,12210.0,12370.0,1511965006490,122251981,19921,D,12470.0,12460.0
2021-08-24,S*Mobarakeh.Steel,12160.0,12670.0,12160.0,12470.0,1891247681620,151607814,19624,D,12250.0,12500.0
2021-08-23,S*Mobarakeh.Steel,12370.0,12420.0,12030.0,12250.0,1594870643520,130225077,20272,D,12360.0,12260.0
2021-08-22,S*Mobarakeh.Steel,12400.0,12580.0,12110.0,12360.0,2200362916580,178042872,27877,D,12330.0,12400.0
2021-08-15,S*Mobarakeh.Steel,12370.0,12490.0,11970.0,12330.0,1928917996730,156398366,19446,D,12210.0,12460.0
2021-08-14,S*Mobarakeh.Steel,12490.0,12490.0,11900.0,12210.0,2372205548300,194218710,29310,D,12280.0,12370.0
2021-08-11,S*Mobarakeh.Steel,12150.0,12370.0,12070.0,12280.0,4185538811670,340891219,36166,D,11790.0,12370.0
2021-08-10,S*Mobarakeh.Steel,11550.0,11890.0,11470.0,11790.0,4164183800780,353301509,27255,D,11330.0,11890.0
2021-08-09,S*Mobarakeh.Steel,11000.0,11480.0,11000.0,11330.0,2493765269560,220118923,24154,D,11000.0,11400.0
2021-08-08,S*Mobarakeh.Steel,11020.0,11120.0,10860.0,11000.0,2785194821720,253156718,18100,D,10550.0,11000.0
2021-07-31,S*Mobarakeh.Steel,10690.0,11050.0,10650.0,10950.0,2536912447630,231700713,24868,D,10600.0,11020.0
2021-07-28,S*Mobarakeh.Steel,10350.0,10770.0,10350.0,10600.0,1221678979660,115208632,13123,D,10540.0,10650.0
2021-07-27,S*Mobarakeh.Steel,10760.0,10800.0,10410.0,10540.0,1123802677170,106614974,13499,D,10790.0,10420.0
2021-07-26,S*Mobarakeh.Steel,10840.0,10840.0,10660.0,10790.0,415617143050,38512453,3324,D,10490.0,10710.0
2021-07-18,S*Mobarakeh.Steel,10490.0,10630.0,10390.0,10490.0,1010096717920,96260142,12234,D,10660.0,10580.0
2021-07-17,S*Mobarakeh.Steel,10730.0,10790.0,10510.0,10660.0,826922788750,77603918,10842,D,10670.0,10640.0
2021-07-14,S*Mobarakeh.Steel,10510.0,10770.0,10510.0,10670.0,895027074850,83900309,12026,D,10830.0,10720.0
2021-07-13,S*Mobarakeh.Steel,10720.0,11050.0,10660.0,10830.0,1168130199640,107829635,15788,D,10850.0,10700.0
2021-07-12,S*Mobarakeh.Steel,10660.0,11060.0,10610.0,10850.0,1695540395300,156216780,19250,D,10540.0,10740.0
2021-07-11,S*Mobarakeh.Steel,10400.0,10690.0,10350.0,10540.0,1039841681900,98697009,14398,D,10260.0,10590.0
2021-07-10,S*Mobarakeh.Steel,10260.0,10430.0,10200.0,10260.0,904850387860,88156494,11959,D,10460.0,10330.0
2021-07-07,S*Mobarakeh.Steel,10490.0,10720.0,10330.0,10460.0,1216297653510,116233464,17032,D,10690.0,10420.0
2021-07-06,S*Mobarakeh.Steel,10400.0,10770.0,10380.0,10690.0,2343965963550,219330222,23503,D,10260.0,10760.0
2021-07-05,S*Mobarakeh.Steel,10130.0,10430.0,10130.0,10260.0,1176114786030,114635355,15407,D,10270.0,10380.0
2021-07-04,S*Mobarakeh.Steel,10050.0,10470.0,10010.0,10270.0,572845246960,55760104,9048,D,10250.0,10230.0
2021-07-03,S*Mobarakeh.Steel,10630.0,10630.0,10100.0,10250.0,1168765515660,114014851,16321,D,10630.0,10100.0
2021-06-30,S*Mobarakeh.Steel,10580.0,10730.0,10520.0,10630.0,506046838270,47625377,8536,D,10670.0,10600.0
2021-06-29,S*Mobarakeh.Steel,10510.0,10820.0,10510.0,10670.0,629647739420,59021339,8894,D,10610.0,10620.0
2021-06-28,S*Mobarakeh.Steel,10550.0,10690.0,10410.0,10610.0,730766947230,68898363,10074,D,10650.0,10630.0
2021-06-27,S*Mobarakeh.Steel,10650.0,10820.0,10520.0,10650.0,808570658720,75911169,12782,D,10800.0,10610.0
2021-06-26,S*Mobarakeh.Steel,10880.0,10960.0,10580.0,10800.0,1557425927120,144220200,20109,D,10590.0,10590.0
2021-06-23,S*Mobarakeh.Steel,10380.0,10720.0,10230.0,10590.0,2607674601760,246232566,19090,D,10210.0,10720.0
2021-06-22,S*Mobarakeh.Steel,10060.0,10390.0,10050.0,10210.0,996064911490,97535316,11970,D,10080.0,10330.0
2021-06-21,S*Mobarakeh.Steel,9870.0,10140.0,9860.0,10080.0,728768645200,72315904,8171,D,10140.0,10060.0
2021-06-20,S*Mobarakeh.Steel,10110.0,10290.0,9980.0,10140.0,1142462577300,112701749,9822,D,10090.0,10000.0
2021-06-19,S*Mobarakeh.Steel,9910.0,10240.0,9880.0,10090.0,1588033866820,157409167,11316,D,9920.0,10210.0
2021-06-16,S*Mobarakeh.Steel,9730.0,9960.0,9730.0,9920.0,1127095207490,113619491,8371,D,9920.0,9930.0
2021-06-15,S*Mobarakeh.Steel,9900.0,10020.0,9750.0,9920.0,891977399880,89910141,9679,D,9850.0,9760.0
2021-06-14,S*Mobarakeh.Steel,9830.0,9930.0,9740.0,9850.0,832339529140,84498866,8446,D,9720.0,9920.0
2021-06-13,S*Mobarakeh.Steel,9650.0,9820.0,9550.0,9720.0,525946305740,54092184,6396,D,9740.0,9750.0
2021-06-12,S*Mobarakeh.Steel,9670.0,9850.0,9640.0,9740.0,765151971460,78592576,7866,D,9770.0,9670.0
2021-06-09,S*Mobarakeh.Steel,9700.0,9890.0,9630.0,9770.0,466893651610,47787996,6554,D,9930.0,9840.0
2021-06-08,S*Mobarakeh.Steel,9970.0,10140.0,9720.0,9930.0,934965878710,94171046,11876,D,10010.0,9800.0
2021-06-07,S*Mobarakeh.Steel,9970.0,10150.0,9920.0,10010.0,759661624540,75864677,10968,D,9840.0,10000.0
2021-06-02,S*Mobarakeh.Steel,9560.0,9940.0,9560.0,9840.0,880045727480,89406208,9352,D,9650.0,9870.0
2021-06-01,S*Mobarakeh.Steel,9520.0,9800.0,9520.0,9650.0,569295889040,58977676,7348,D,9640.0,9570.0
2021-05-31,S*Mobarakeh.Steel,9520.0,9950.0,9470.0,9640.0,811361579940,84163749,9335,D,9770.0,9570.0
2021-05-30,S*Mobarakeh.Steel,9850.0,9850.0,9450.0,9770.0,1853228501870,189740020,17198,D,9390.0,9610.0
2021-05-29,S*Mobarakeh.Steel,9040.0,9410.0,9040.0,9390.0,921701755030,98191699,6145,D,8970.0,9410.0
2021-05-26,S*Mobarakeh.Steel,8900.0,9130.0,8760.0,8970.0,551146136150,61427501,10754,D,8900.0,8990.0
2021-05-25,S*Mobarakeh.Steel,9000.0,9000.0,8790.0,8900.0,582914427500,65478842,7232,D,8870.0,8880.0
2021-05-18,S*Mobarakeh.Steel,12220.0,12820.0,12220.0,12440.0,842391663160,67706877,8784,D,12470.0,12290.0
2021-05-17,S*Mobarakeh.Steel,12570.0,12700.0,12200.0,12470.0,512407923680,41101240,6055,D,12740.0,12230.0
2021-05-16,S*Mobarakeh.Steel,12940.0,13090.0,12580.0,12740.0,656634827320,51548294,8088,D,12910.0,12580.0
2021-05-15,S*Mobarakeh.Steel,12680.0,13190.0,12570.0,12910.0,770638353100,59697544,9348,D,12730.0,12750.0
2021-05-12,S*Mobarakeh.Steel,13100.0,13150.0,12450.0,12730.0,990734527650,77854760,11861,D,12660.0,12670.0
2021-05-11,S*Mobarakeh.Steel,12300.0,12740.0,12090.0,12660.0,1760231182120,138985009,12946,D,12020.0,12740.0
2021-05-10,S*Mobarakeh.Steel,11410.0,12270.0,11400.0,12020.0,1279381849560,106481412,12821,D,11580.0,12270.0
2021-05-09,S*Mobarakeh.Steel,11650.0,11750.0,11580.0,11580.0,690754738960,59627396,5735,D,11930.0,11580.0
2021-05-08,S*Mobarakeh.Steel,12010.0,12350.0,11680.0,11930.0,544485078010,45623577,8182,D,11970.0,11820.0
2021-05-05,S*Mobarakeh.Steel,11580.0,12210.0,11580.0,11970.0,786018916900,65679451,9789,D,11720.0,11980.0
2021-05-03,S*Mobarakeh.Steel,11710.0,11860.0,11710.0,11720.0,1117632133810,95381332,9929,D,12070.0,11710.0
2021-05-02,S*Mobarakeh.Steel,12050.0,12050.0,12050.0,12070.0,105851899500,8784390,719,D,12420.0,12050.0
2021-05-01,S*Mobarakeh.Steel,12550.0,12750.0,12390.0,12420.0,580748556940,46744067,5079,D,12770.0,12390.0
2021-04-28,S*Mobarakeh.Steel,12670.0,13200.0,12450.0,12770.0,726552365030,56904744,9133,D,12660.0,12660.0
2021-04-27,S*Mobarakeh.Steel,12250.0,12760.0,12230.0,12660.0,1544152408070,121999895,12443,D,12040.0,12610.0
2021-04-26,S*Mobarakeh.Steel,11710.0,12300.0,11710.0,12040.0,666961908120,55383192,8584,D,11760.0,12220.0
2021-04-25,S*Mobarakeh.Steel,11750.0,11990.0,11650.0,11760.0,712834032460,60595344,6562,D,12000.0,11780.0
2021-04-24,S*Mobarakeh.Steel,11800.0,12250.0,11800.0,12000.0,575701433780,47959966,7339,D,12110.0,12130.0
2021-04-21,S*Mobarakeh.Steel,12200.0,12360.0,11980.0,12110.0,675013743150,55757581,7164,D,12350.0,12020.0
2021-04-20,S*Mobarakeh.Steel,12310.0,12650.0,12120.0,12350.0,842585511130,68198392,9962,D,12290.0,12180.0
2021-04-19,S*Mobarakeh.Steel,12230.0,12590.0,12230.0,12290.0,1735482831380,141171735,14929,D,12470.0,12470.0
2021-04-18,S*Mobarakeh.Steel,12450.0,12450.0,12450.0,12470.0,105200657400,8449852,619,D,12700.0,12450.0
2021-04-17,S*Mobarakeh.Steel,12700.0,12880.0,12700.0,12700.0,123122528580,9692007,1202,D,12950.0,12700.0
2021-04-14,S*Mobarakeh.Steel,13030.0,13170.0,12730.0,12950.0,1377891123040,106404742,13957,D,12980.0,12770.0
2021-04-13,S*Mobarakeh.Steel,12700.0,13040.0,12600.0,12980.0,2449523849120,188712769,19672,D,12310.0,13040.0
2021-04-12,S*Mobarakeh.Steel,12250.0,12530.0,12110.0,12310.0,945807481830,76851728,12207,D,12230.0,12500.0
2021-04-11,S*Mobarakeh.Steel,12230.0,12300.0,12230.0,12230.0,1524768395510,124626379,12667,D,12470.0,12230.0
2021-04-10,S*Mobarakeh.Steel,12470.0,12530.0,12470.0,12470.0,252279732970,20230451,1740,D,12720.0,12470.0
2021-04-07,S*Mobarakeh.Steel,12750.0,12880.0,12710.0,12720.0,308364419690,24243843,3428,D,12960.0,12710.0
2021-04-06,S*Mobarakeh.Steel,13380.0,13410.0,12760.0,12960.0,703737016140,54293452,10660,D,13020.0,12800.0
2021-04-05,S*Mobarakeh.Steel,12970.0,13380.0,12970.0,13020.0,1423966918650,109388395,14212,D,13230.0,13370.0
2021-04-04,S*Mobarakeh.Steel,13230.0,13230.0,13230.0,13230.0,153414061290,11595923,781,D,13490.0,13230.0
2021-04-03,S*Mobarakeh.Steel,13490.0,13490.0,13490.0,13490.0,373008050920,27650708,1821,D,13760.0,13490.0
2021-03-31,S*Mobarakeh.Steel,13900.0,14090.0,13700.0,13760.0,419956043890,30518130,5643,D,13970.0,13700.0
2021-03-30,S*Mobarakeh.Steel,13640.0,14300.0,13600.0,13970.0,777505009350,55662597,11833,D,13800.0,13930.0
2021-03-28,S*Mobarakeh.Steel,14060.0,14060.0,13780.0,13800.0,1159415227850,84018743,11461,D,14060.0,13780.0
2021-03-27,S*Mobarakeh.Steel,14100.0,14320.0,13890.0,14060.0,1070518206970,76163418,15439,D,14170.0,13920.0
2021-03-17,S*Mobarakeh.Steel,14310.0,14310.0,13860.0,14170.0,2943596839720,207764062,26202,D,13500.0,13990.0
2021-03-16,S*Mobarakeh.Steel,13500.0,13500.0,13500.0,13500.0,771845031000,57173706,3345,D,12740.0,13500.0
2021-03-13,S*Mobarakeh.Steel,12380.0,13030.0,12380.0,12740.0,1444911020060,113400632,16928,D,12500.0,12710.0
2021-03-10,S*Mobarakeh.Steel,12480.0,12640.0,12340.0,12500.0,1101407037500,88138499,12192,D,12590.0,12590.0
2021-03-09,S*Mobarakeh.Steel,12700.0,13000.0,12240.0,12590.0,1604384493000,127413792,17137,D,12410.0,12400.0
2021-03-08,S*Mobarakeh.Steel,12140.0,12480.0,11970.0,12410.0,2162898569810,174284774,19517,D,11780.0,12480.0
2021-03-07,S*Mobarakeh.Steel,11450.0,12030.0,11450.0,11780.0,925200597650,78545797,11613,D,11570.0,12030.0
2021-03-06,S*Mobarakeh.Steel,11750.0,11800.0,11510.0,11570.0,716732332870,61958127,8896,D,11740.0,11550.0
2021-03-03,S*Mobarakeh.Steel,11900.0,11920.0,11600.0,11740.0,933915865210,79521076,8799,D,11820.0,11910.0
2021-03-02,S*Mobarakeh.Steel,11810.0,12100.0,11600.0,11820.0,739704570690,62580371,10582,D,11560.0,11860.0
2021-03-01,S*Mobarakeh.Steel,11690.0,11780.0,11360.0,11560.0,1061173363080,91798722,14642,D,11390.0,11730.0
2021-02-28,S*Mobarakeh.Steel,11370.0,11620.0,11370.0,11390.0,880833280220,77302357,6292,D,11600.0,11610.0
2021-02-27,S*Mobarakeh.Steel,11600.0,11700.0,11600.0,11600.0,848352221640,73127741,7767,D,11830.0,11600.0
2021-02-24,S*Mobarakeh.Steel,12240.0,12240.0,11580.0,11830.0,919204481860,77691558,16434,D,11810.0,11640.0
2021-02-23,S*Mobarakeh.Steel,11430.0,12280.0,11420.0,11810.0,1594495542540,134965921,22624,D,11650.0,12170.0
2021-02-22,S*Mobarakeh.Steel,11640.0,11820.0,11640.0,11650.0,1526289334650,131051701,12396,D,11870.0,11640.0
2021-02-21,S*Mobarakeh.Steel,11890.0,12090.0,11850.0,11870.0,552042382560,46505058,4804,D,12090.0,11850.0
2021-02-20,S*Mobarakeh.Steel,12220.0,0.0,0.0,12090.0,1420212331580,117446638,18277,D,12200.0,12180.0
2021-02-16,S*Mobarakeh.Steel,12550.0,12700.0,12410.0,12430.0,1472999894920,118544579,12141,D,12660.0,12470.0
2021-02-15,S*Mobarakeh.Steel,12600.0,13030.0,12520.0,12660.0,1981417466800,156503255,20063,D,12770.0,12540.0
2021-02-14,S*Mobarakeh.Steel,12750.0,13190.0,12400.0,12770.0,2774064436130,217250609,26560,D,12580.0,12570.0
2021-02-13,S*Mobarakeh.Steel,12580.0,12580.0,12580.0,12580.0,1084662067000,86221150,4956,D,11870.0,12580.0
2021-02-09,S*Mobarakeh.Steel,11680.0,11900.0,11480.0,11870.0,878148818120,73986789,7898,D,11340.0,11900.0
2021-02-08,S*Mobarakeh.Steel,11350.0,11350.0,11150.0,11340.0,1795485045790,158299571,14612,D,10810.0,11350.0
2021-02-07,S*Mobarakeh.Steel,10800.0,10810.0,10500.0,10810.0,395411565080,36586710,4029,D,10300.0,10810.0
2021-02-06,S*Mobarakeh.Steel,10670.0,10800.0,10250.0,10300.0,1135693759180,110236217,14819,D,10780.0,10250.0
2021-02-03,S*Mobarakeh.Steel,10750.0,11490.0,10670.0,10780.0,810371684980,75189910,8201,D,11230.0,10670.0
2021-02-02,S*Mobarakeh.Steel,11300.0,11600.0,11170.0,11230.0,1094916595940,97460009,12971,D,11750.0,11170.0
2021-02-01,S*Mobarakeh.Steel,12000.0,12150.0,11490.0,11750.0,1111377127550,94614721,13359,D,12090.0,11490.0
2021-01-31,S*Mobarakeh.Steel,12630.0,12700.0,11760.0,12090.0,1261326072420,104365384,18827,D,12220.0,11800.0
2021-01-30,S*Mobarakeh.Steel,11830.0,12250.0,11830.0,12220.0,1101367414080,90129496,12609,D,11670.0,12250.0
2021-01-27,S*Mobarakeh.Steel,11580.0,11940.0,11190.0,11670.0,1051001762850,90083984,12415,D,11680.0,11820.0
