<DTYYYYMMDD>,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
2021-12-28,Iran.Khodro,1980.0,2065.0,1951.0,2010.0,952079870450,473588868,12695,D,1990.0,2025.0
2021-12-27,Iran.Khodro,1931.0,2000.0,1922.0,1990.0,1287787328826,647168553,14586,D,1905.0,1967.0
2021-12-26,Iran.Khodro,1910.0,1932.0,1865.0,1905.0,531227468999,278809739,9019,D,1956.0,1921.0
2021-12-25,Iran.Khodro,1999.0,2023.0,1892.0,1956.0,935093198165,477969324,14531,D,1960.0,1905.0
2021-12-22,Iran.Khodro,1889.0,1976.0,1882.0,1960.0,985874448468,503112829,12038,D,1882.0,1976.0
2021-12-21,Iran.Khodro,1888.0,1920.0,1851.0,1882.0,455360598289,241912083,7920,D,1858.0,1862.0
2021-12-20,Iran.Khodro,1841.0,1909.0,1802.0,1858.0,689335824245,370934374,11061,D,1876.0,1880.0
2021-12-19,Iran.Khodro,1965.0,1970.0,1856.0,1876.0,822100160745,438255155,11188,D,1953.0,1856.0
2021-12-18,Iran.Khodro,1900.0,1961.0,1890.0,1953.0,1369913720021,701269890,16307,D,1868.0,1961.0
2021-12-15,Iran.Khodro,1890.0,1950.0,1825.0,1868.0,1370244919683,733471286,17475,D,1921.0,1856.0
2021-12-14,Iran.Khodro,1922.0,1969.0,1917.0,1921.0,1554474013421,809024025,14825,D,2017.0,1917.0
2021-12-13,Iran.Khodro,2050.0,2098.0,1973.0,2017.0,1040720814961,515929437,13568,D,2076.0,1973.0
2021-12-12,Iran.Khodro,2100.0,2125.0,2075.0,2076.0,1628014520611,784137031,12759,D,2184.0,2075.0
2021-12-11,Iran.Khodro,2235.0,2300.0,2110.0,2184.0,2838191179423,1299565455,35796,D,2221.0,2112.0
2021-12-08,Iran.Khodro,2230.0,2250.0,2180.0,2221.0,1494682305343,673000683,10293,D,2057.0,2190.0
2021-11-09,Iran.Khodro,2050.0,2139.0,1962.0,2057.0,3152406545978,1532746439,34777,D,2043.0,2046.0
2021-11-08,Iran.Khodro,1971.0,2051.0,1970.0,2043.0,3793151085120,1856803942,34147,D,1954.0,2051.0
2021-11-07,Iran.Khodro,1957.0,1957.0,1901.0,1954.0,3940010062403,2016353606,34574,D,1864.0,1957.0
2021-11-06,Iran.Khodro,1892.0,1892.0,1892.0,1864.0,86284977856,45605168,1670,D,1802.0,1892.0
2021-11-03,Iran.Khodro,1803.0,1803.0,1772.0,1802.0,807165433056,447813942,6529,D,1718.0,1803.0
2021-11-02,Iran.Khodro,1698.0,1730.0,1681.0,1718.0,547628392112,318838776,5866,D,1648.0,1730.0
2021-11-01,Iran.Khodro,1620.0,1652.0,1601.0,1648.0,251492523572,152632403,3410,D,1574.0,1652.0
2021-10-31,Iran.Khodro,1640.0,1640.0,1568.0,1574.0,708234983395,449967168,10628,D,1650.0,1570.0
2021-10-30,Iran.Khodro,1726.0,1726.0,1621.0,1650.0,664592470743,402885513,12372,D,1706.0,1668.0
2021-10-27,Iran.Khodro,1701.0,1738.0,1680.0,1706.0,375070363175,219905018,8032,D,1698.0,1696.0
2021-10-26,Iran.Khodro,1671.0,1729.0,1670.0,1698.0,393524334595,231812369,8220,D,1679.0,1680.0
2021-10-25,Iran.Khodro,1645.0,1738.0,1631.0,1679.0,520837683564,310265793,10780,D,1676.0,1672.0
2021-10-23,Iran.Khodro,1730.0,1730.0,1671.0,1676.0,621171966207,370691245,12461,D,1758.0,1674.0
2021-10-20,Iran.Khodro,1789.0,1813.0,1725.0,1758.0,358024533620,203667935,7384,D,1780.0,1738.0
2021-10-19,Iran.Khodro,1758.0,1791.0,1730.0,1780.0,757304608576,425344518,9922,D,1706.0,1791.0
2021-10-18,Iran.Khodro,1672.0,1750.0,1653.0,1706.0,480197117305,281428154,8865,D,1704.0,1738.0
2021-10-17,Iran.Khodro,1780.0,1780.0,1680.0,1704.0,478407257420,280797871,10008,D,1768.0,1690.0
2021-10-16,Iran.Khodro,1740.0,1785.0,1730.0,1768.0,336120347439,190108612,7872,D,1704.0,1777.0
2021-10-13,Iran.Khodro,1707.0,1766.0,1668.0,1704.0,505839754640,296818674,9607,D,1744.0,1730.0
2021-10-12,Iran.Khodro,1795.0,1814.0,1740.0,1744.0,717413969280,411410456,12490,D,1831.0,1740.0
2021-10-11,Iran.Khodro,1870.0,1879.0,1801.0,1831.0,324277277928,177081163,7420,D,1830.0,1814.0
2021-10-10,Iran.Khodro,1799.0,1881.0,1799.0,1830.0,370088962232,202202655,6866,D,1863.0,1880.0
2021-10-09,Iran.Khodro,1948.0,1948.0,1847.0,1863.0,458960183225,246309483,10047,D,1944.0,1850.0
2021-10-06,Iran.Khodro,1931.0,1971.0,1910.0,1944.0,634902053153,326550410,9989,D,1932.0,1939.0
2021-10-04,Iran.Khodro,1941.0,1955.0,1906.0,1932.0,720468292366,372926185,13139,D,1878.0,1931.0
2021-10-03,Iran.Khodro,1828.0,1930.0,1790.0,1878.0,1188040652868,632704827,18136,D,1839.0,1930.0
2021-10-02,Iran.Khodro,1855.0,1880.0,1817.0,1839.0,850282289046,462281079,16411,D,1845.0,1823.0
2021-09-29,Iran.Khodro,1850.0,1872.0,1804.0,1845.0,457701882886,248077772,9507,D,1833.0,1840.0
2021-09-28,Iran.Khodro,1862.0,1880.0,1800.0,1833.0,374111990080,204119284,9999,D,1862.0,1815.0
2021-09-26,Iran.Khodro,1912.0,1912.0,1830.0,1862.0,333822952899,179253417,9315,D,1885.0,1848.0
2021-09-25,Iran.Khodro,1900.0,1904.0,1834.0,1885.0,625213212557,331653590,13128,D,1814.0,1904.0
2021-09-22,Iran.Khodro,1853.0,1870.0,1764.0,1814.0,680730149485,375280645,16813,D,1855.0,1855.0
2021-09-21,Iran.Khodro,1910.0,1940.0,1847.0,1855.0,722960184246,389768230,14961,D,1944.0,1861.0
