<DTYYYYMMDD>,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
2021-12-28,MAPNA,16190.0,16770.0,16000.0,16340.0,59180962200,3584950,553,D,16190.0,16460.0
2021-12-27,MAPNA,16470.0,16760.0,16070.0,16190.0,60737302020,3704322,550,D,16000.0,16200.0
2021-12-26,MAPNA,15630.0,16440.0,15620.0,16000.0,111275345610,6959750,827,D,16120.0,16340.0
2021-12-25,MAPNA,16130.0,16130.0,15900.0,16120.0,265429794110,16469328,1131,D,15370.0,15900.0
2021-12-22,MAPNA,15850.0,15850.0,15850.0,15370.0,46077265550,2907083,153,D,15100.0,15850.0
2021-12-20,MAPNA,14610.0,15400.0,14610.0,15100.0,49432992250,3255458,434,D,15040.0,15300.0
2021-12-19,MAPNA,15000.0,15200.0,14800.0,15040.0,29009939340,1941195,291,D,15070.0,14820.0
2021-12-18,MAPNA,15040.0,15390.0,15040.0,15070.0,32351390390,2134792,385,D,15040.0,15150.0
2021-12-15,MAPNA,15140.0,15400.0,14850.0,15040.0,46603191630,3092872,465,D,15020.0,15300.0
2021-12-14,MAPNA,14390.0,15100.0,14390.0,15020.0,40142017170,2678129,450,D,15040.0,14930.0
2021-12-13,MAPNA,15120.0,15430.0,14400.0,15040.0,60384692690,4035504,572,D,15120.0,14510.0
2021-12-12,MAPNA,14420.0,15470.0,14420.0,15120.0,30590661110,2045042,288,D,15170.0,15470.0
2021-12-08,MAPNA,15100.0,15390.0,15100.0,15170.0,16483221970,1076700,99,D,15150.0,15210.0
2021-12-07,MAPNA,14710.0,15330.0,14710.0,15150.0,48769609800,3216529,373,D,15140.0,15150.0
2021-12-06,MAPNA,15430.0,15550.0,15000.0,15140.0,31138123600,2044176,334,D,15110.0,15100.0
2021-12-05,MAPNA,15400.0,15400.0,14840.0,15110.0,47465167850,3137075,433,D,15090.0,15090.0
2021-12-04,MAPNA,14820.0,15210.0,14700.0,15090.0,46445130360,3105280,415,D,15180.0,15000.0
2021-12-01,MAPNA,15050.0,15760.0,14900.0,15180.0,84340200690,5592174,605,D,15450.0,15000.0
2021-11-30,MAPNA,15110.0,15790.0,15100.0,15450.0,86655865200,5599607,815,D,15390.0,15280.0
2021-11-29,MAPNA,15000.0,15690.0,15000.0,15390.0,67323144650,4384091,545,D,15430.0,15230.0
2021-11-28,MAPNA,15000.0,15840.0,14720.0,15430.0,61371895340,3984248,459,D,15450.0,15290.0
2021-11-27,MAPNA,15140.0,15570.0,15010.0,15450.0,37043696620,2439779,405,D,15580.0,15300.0
2021-11-24,MAPNA,15910.0,15910.0,15190.0,15580.0,93653128950,6035978,651,D,15900.0,15700.0
2021-11-23,MAPNA,15450.0,16280.0,15450.0,15900.0,28956491880,1826205,454,D,15920.0,15920.0
2021-11-22,MAPNA,16000.0,16290.0,15590.0,15920.0,47926169770,2987948,579,D,15840.0,15800.0
2021-11-21,MAPNA,15810.0,16140.0,15110.0,15840.0,50988311670,3213384,523,D,15820.0,15880.0
2021-11-20,MAPNA,16290.0,16290.0,15650.0,15820.0,100397528980,6383042,1020,D,16470.0,15650.0
