<DTYYYYMMDD>,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
2021-12-27,Jam.Petr.,51600.0,52000.0,50120.0,51270.0,171364683120,3342670,699,D,50590.0,50970.0
2021-12-26,Jam.Petr.,50480.0,51610.0,48850.0,50590.0,117015753000,2313185,536,D,49730.0,51100.0
2021-12-25,Jam.Petr.,50770.0,50770.0,49300.0,49730.0,57592322010,1152475,295,D,49420.0,50000.0
2021-12-22,Jam.Petr.,49390.0,50350.0,48600.0,49420.0,141519648590,2863674,458,D,48600.0,50300.0
2021-12-21,Jam.Petr.,49200.0,49210.0,48010.0,48600.0,41649077350,854060,206,D,48480.0,48900.0
2021-12-20,Jam.Petr.,48300.0,49000.0,47010.0,48480.0,85768793860,1768675,409,D,48400.0,49000.0
2021-12-19,Jam.Petr.,48010.0,48200.0,47600.0,48400.0,30923271150,644570,262,D,48590.0,48000.0
2021-12-18,Jam.Petr.,47630.0,49100.0,47630.0,48590.0,80248657570,1650932,393,D,48520.0,48800.0
2021-12-15,Jam.Petr.,48530.0,49200.0,47800.0,48520.0,29451387110,607241,233,D,48530.0,48400.0
2021-12-14,Jam.Petr.,47230.0,48960.0,47230.0,48530.0,43502404610,900114,328,D,48680.0,48300.0
2021-12-13,Jam.Petr.,48000.0,48980.0,46770.0,48680.0,23571722200,491518,242,D,48910.0,47880.0
2021-12-12,Jam.Petr.,48000.0,49020.0,47750.0,48910.0,24278403310,501497,221,D,49070.0,48100.0
2021-12-11,Jam.Petr.,48540.0,49400.0,47770.0,49070.0,16024210080,329321,315,D,49150.0,48110.0
2021-12-08,Jam.Petr.,49900.0,50100.0,48530.0,49150.0,19830178110,400938,438,D,49080.0,48540.0
2021-12-07,Jam.Petr.,48700.0,49900.0,48050.0,49080.0,146752523390,2990313,546,D,48640.0,49500.0
2021-12-06,Jam.Petr.,47500.0,49500.0,47500.0,48640.0,43667717720,892207,285,D,48410.0,48490.0
2021-12-05,Jam.Petr.,48900.0,48990.0,47850.0,48410.0,14114392180,289686,207,D,48360.0,48270.0
2021-12-04,Jam.Petr.,47420.0,48800.0,47420.0,48360.0,52722140400,1087688,344,D,48230.0,48700.0
2021-12-01,Jam.Petr.,47340.0,48860.0,47300.0,48230.0,13496341970,282137,188,D,48290.0,47600.0
2021-11-30,Jam.Petr.,47150.0,48900.0,47150.0,48290.0,31844512260,661574,273,D,48360.0,48690.0
2021-11-29,Jam.Petr.,47250.0,48900.0,47250.0,48360.0,31073724680,642170,269,D,48350.0,47990.0
2021-11-28,Jam.Petr.,47250.0,48430.0,47090.0,48350.0,47561319130,985407,354,D,48420.0,47500.0
2021-11-27,Jam.Petr.,48000.0,48500.0,46500.0,48420.0,17709170690,369060,236,D,48520.0,47550.0
2021-11-24,Jam.Petr.,48510.0,48960.0,48210.0,48520.0,14137418860,291361,229,D,48520.0,48530.0
2021-11-23,Jam.Petr.,48800.0,48920.0,48400.0,48520.0,27527850540,566915,280,D,48500.0,48900.0
2021-11-22,Jam.Petr.,47610.0,49050.0,47610.0,48500.0,25265729850,516909,217,D,48370.0,49000.0
2021-11-21,Jam.Petr.,47500.0,48980.0,47500.0,48370.0,11193953560,232059,232,D,48390.0,48500.0
2021-11-20,Jam.Petr.,49000.0,49000.0,47200.0,48390.0,21845850180,458919,304,D,48620.0,48000.0
2021-11-17,Jam.Petr.,47620.0,49130.0,47620.0,48620.0,18291217740,374176,291,D,48560.0,49000.0
2021-11-16,Jam.Petr.,48000.0,48950.0,47100.0,48560.0,22239093830,460710,243,D,48640.0,48200.0
2021-11-15,Jam.Petr.,48750.0,49000.0,48010.0,48640.0,30981252900,639681,271,D,48730.0,48150.0
2021-11-14,Jam.Petr.,49180.0,49180.0,48520.0,48730.0,35423781020,724264,253,D,48640.0,48710.0
2021-11-13,Jam.Petr.,47500.0,49090.0,47060.0,48640.0,94951610440,1951646,372,D,48360.0,49000.0
2021-11-10,Jam.Petr.,47980.0,48840.0,47980.0,48360.0,134196944380,2775058,362,D,47980.0,48170.0
2021-11-09,Jam.Petr.,48100.0,48870.0,47020.0,47980.0,142848852530,2977304,492,D,47040.0,48440.0
2021-11-08,Jam.Petr.,46150.0,47900.0,46100.0,47040.0,41610591050,878118,466,D,46800.0,47450.0
2021-11-07,Jam.Petr.,46150.0,47170.0,46000.0,46800.0,35556378780,763196,482,D,46920.0,46600.0
2021-11-06,Jam.Petr.,47490.0,47970.0,46310.0,46920.0,47181835280,992028,780,D,46370.0,47280.0
2021-11-03,Jam.Petr.,46480.0,47900.0,45060.0,46370.0,75896960870,1635801,586,D,46280.0,46560.0
2021-11-02,Jam.Petr.,46290.0,46500.0,46140.0,46280.0,41191414100,890720,615,D,46310.0,46240.0
2021-11-01,Jam.Petr.,46310.0,47900.0,45200.0,46310.0,49635306300,1071739,472,D,46310.0,46200.0
