<DTYYYYMMDD>,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
2021-12-28,Khalij.Fars,11220.0,11250.0,11010.0,11140.0,115476398280,10376140,1519,D,11220.0,11090.0
2021-12-27,Khalij.Fars,11300.0,11440.0,11010.0,11220.0,247442282170,22050072,2905,D,11250.0,11090.0
2021-12-26,Khalij.Fars,11210.0,11430.0,11090.0,11250.0,367990778310,32701984,3598,D,11090.0,11310.0
2021-12-25,Khalij.Fars,10890.0,11110.0,10800.0,11090.0,260384357590,23486788,1338,D,10590.0,11110.0
2021-12-22,Khalij.Fars,10330.0,10600.0,10320.0,10590.0,243340976190,22975032,1122,D,10100.0,10600.0
2021-12-21,Khalij.Fars,10050.0,10240.0,9960.0,10100.0,96880084040,9550150,1004,D,9960.0,10240.0
2021-12-20,Khalij.Fars,9890.0,10100.0,9890.0,9960.0,81529754100,8143516,998,D,9860.0,10050.0
2021-12-19,Khalij.Fars,9880.0,9960.0,9800.0,9860.0,84367714370,8547815,1078,D,9830.0,9960.0
2021-12-18,Khalij.Fars,9800.0,10010.0,9790.0,9830.0,48200985180,4864399,833,D,9780.0,9980.0
2021-12-15,Khalij.Fars,9950.0,10000.0,9710.0,9780.0,60298768770,6152767,906,D,9750.0,9760.0
2021-12-14,Khalij.Fars,9700.0,9960.0,9360.0,9750.0,81179358750,8331040,1274,D,9750.0,9780.0
2021-12-13,Khalij.Fars,9880.0,10110.0,9480.0,9750.0,103433212910,10629887,1608,D,9880.0,9600.0
2021-12-12,Khalij.Fars,10200.0,10200.0,9680.0,9880.0,132062105820,13364593,1441,D,10180.0,10000.0
2021-12-11,Khalij.Fars,10380.0,10380.0,10100.0,10180.0,93988841730,9228921,1213,D,10160.0,10180.0
2021-12-08,Khalij.Fars,10200.0,10340.0,10080.0,10160.0,255787866520,25176394,1916,D,10120.0,10300.0
2021-12-07,Khalij.Fars,10250.0,10250.0,10020.0,10120.0,117942913730,11648060,1263,D,10080.0,10170.0
2021-12-06,Khalij.Fars,10200.0,10200.0,10050.0,10080.0,49504457800,4894130,1000,D,10050.0,10110.0
2021-12-05,Khalij.Fars,10020.0,10200.0,10010.0,10050.0,59751323800,5914321,1347,D,10000.0,10100.0
2021-12-04,Khalij.Fars,10010.0,10300.0,9740.0,10000.0,95978338410,9589582,1808,D,9960.0,10000.0
2021-12-01,Khalij.Fars,10090.0,10240.0,9830.0,9960.0,121186273010,12162687,1922,D,10250.0,9970.0
2021-11-30,Khalij.Fars,10580.0,10620.0,10090.0,10250.0,122518551150,11957375,2388,D,10490.0,10180.0
2021-11-29,Khalij.Fars,10510.0,10680.0,10350.0,10490.0,85495401990,8177294,1566,D,10590.0,10370.0
2021-11-28,Khalij.Fars,10370.0,10800.0,10370.0,10590.0,145080589510,13694305,2042,D,10620.0,10600.0
2021-11-27,Khalij.Fars,10700.0,10850.0,10380.0,10620.0,80273216240,7651353,1748,D,10910.0,10410.0
2021-11-24,Khalij.Fars,11220.0,11220.0,10700.0,10910.0,115279929440,10565109,1718,D,11000.0,10960.0
2021-11-23,Khalij.Fars,11000.0,11140.0,10830.0,11000.0,112503690920,10224047,1862,D,10980.0,11010.0
2021-11-22,Khalij.Fars,10880.0,11110.0,10670.0,10980.0,188273795160,17153940,2466,D,10650.0,10890.0
2021-11-21,Khalij.Fars,10610.0,10970.0,10340.0,10650.0,98195989130,9215972,2024,D,10630.0,10800.0
2021-11-20,Khalij.Fars,11100.0,11350.0,10520.0,10630.0,156312843460,14706476,3690,D,11070.0,10550.0
2021-11-17,Khalij.Fars,11350.0,11460.0,10850.0,11070.0,188603917780,17038964,2485,D,11130.0,11030.0
2021-11-16,Khalij.Fars,11190.0,11280.0,10940.0,11130.0,109406304460,9831528,2303,D,11510.0,11110.0
2021-11-15,Khalij.Fars,12000.0,12010.0,11320.0,11510.0,149986191910,13031761,2413,D,11910.0,11320.0
2021-11-14,Khalij.Fars,11800.0,12070.0,11590.0,11910.0,277553845850,23297419,4009,D,11890.0,12040.0
2021-11-13,Khalij.Fars,12230.0,12240.0,11750.0,11890.0,223194457870,18769645,4370,D,12360.0,11800.0
2021-11-10,Khalij.Fars,12420.0,12700.0,12200.0,12360.0,200293634720,16207012,2705,D,12420.0,12320.0
2021-11-09,Khalij.Fars,12480.0,12670.0,12220.0,12420.0,273565154280,22028665,3220,D,12490.0,12250.0
2021-11-08,Khalij.Fars,12590.0,12740.0,12290.0,12490.0,289383993040,23165541,3117,D,12510.0,12330.0
2021-11-07,Khalij.Fars,12950.0,12950.0,12100.0,12510.0,311274131660,24872424,4497,D,12730.0,12200.0
2021-11-06,Khalij.Fars,12640.0,13000.0,12640.0,12730.0,466611375320,36658930,2733,D,12370.0,12830.0
2021-10-13,Khalij.Fars,13400.0,13500.0,12720.0,12970.0,222038318150,17113464,2621,D,13290.0,12950.0
2021-10-12,Khalij.Fars,13510.0,13690.0,13150.0,13290.0,377654699170,28410067,3296,D,13770.0,13160.0
2021-10-11,Khalij.Fars,13850.0,13860.0,13640.0,13770.0,554278034190,40266561,2531,D,13890.0,13720.0
2021-10-06,Khalij.Fars,14000.0,14070.0,13830.0,13890.0,825384532800,59425164,6358,D,13730.0,13850.0
