<DTYYYYMMDD>,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
2021-12-28,S*Isf..Oil.Ref.Co.,6490.0,6490.0,6280.0,6400.0,304576356240,47602405,5020,D,6380.0,6450.0
2021-12-27,S*Isf..Oil.Ref.Co.,6380.0,6550.0,6240.0,6380.0,483811171050,75850603,7299,D,6240.0,6320.0
2021-12-26,S*Isf..Oil.Ref.Co.,6150.0,6450.0,6010.0,6240.0,613285893990,98358388,8513,D,6190.0,6320.0
2021-12-25,S*Isf..Oil.Ref.Co.,6200.0,6210.0,6050.0,6190.0,800241050730,129239398,9746,D,5920.0,6160.0
2021-12-22,S*Isf..Oil.Ref.Co.,5880.0,5920.0,5790.0,5920.0,358541914080,60613287,2766,D,5640.0,5920.0
2021-12-21,S*Isf..Oil.Ref.Co.,5560.0,5750.0,5450.0,5640.0,322108025680,57069437,4432,D,5480.0,5750.0
2021-12-20,S*Isf..Oil.Ref.Co.,5510.0,5550.0,5380.0,5480.0,251507430380,45933041,3805,D,5420.0,5470.0
2021-12-19,S*Isf..Oil.Ref.Co.,5650.0,5670.0,5370.0,5420.0,244022921370,45009984,5260,D,5650.0,5400.0
2021-12-18,S*Isf..Oil.Ref.Co.,5600.0,5790.0,5580.0,5650.0,133058823250,23531627,3218,D,5570.0,5640.0
2021-12-15,S*Isf..Oil.Ref.Co.,5580.0,5690.0,5500.0,5570.0,139495379440,25062217,3104,D,5570.0,5550.0
2021-12-14,S*Isf..Oil.Ref.Co.,5520.0,5710.0,5350.0,5570.0,201852900390,36240585,4432,D,5530.0,5570.0
2021-12-13,S*Isf..Oil.Ref.Co.,5810.0,5810.0,5420.0,5530.0,301603806230,54573764,5542,D,5700.0,5430.0
2021-12-12,S*Isf..Oil.Ref.Co.,5940.0,5940.0,5670.0,5700.0,264107286440,46302108,4370,D,5960.0,5830.0
2021-12-11,S*Isf..Oil.Ref.Co.,6010.0,6070.0,5890.0,5960.0,201267844270,33750282,4012,D,5990.0,5900.0
2021-12-08,S*Isf..Oil.Ref.Co.,5970.0,6070.0,5840.0,5990.0,298087546870,49748531,5246,D,5860.0,6000.0
2021-12-07,S*Isf..Oil.Ref.Co.,5700.0,5940.0,5700.0,5860.0,171946243400,29321175,3766,D,5870.0,5880.0
2021-12-06,S*Isf..Oil.Ref.Co.,5870.0,5960.0,5780.0,5870.0,153979704810,26228160,3996,D,5910.0,5780.0
2021-12-05,S*Isf..Oil.Ref.Co.,5900.0,5990.0,5830.0,5910.0,316195561150,53527161,7296,D,5760.0,5850.0
2021-12-04,S*Isf..Oil.Ref.Co.,5750.0,5910.0,5580.0,5760.0,455496000650,79133522,7299,D,5630.0,5900.0
2021-12-01,S*Isf..Oil.Ref.Co.,5720.0,5830.0,5530.0,5630.0,257880127030,45841487,5648,D,5780.0,5670.0
2021-11-30,S*Isf..Oil.Ref.Co.,5820.0,5920.0,5680.0,5780.0,223786084120,38738354,4782,D,5850.0,5720.0
2021-11-29,S*Isf..Oil.Ref.Co.,5870.0,5960.0,5760.0,5850.0,238104775870,40698039,5012,D,5860.0,5810.0
2021-11-28,S*Isf..Oil.Ref.Co.,5780.0,6000.0,5770.0,5860.0,263588923990,45005851,6303,D,5890.0,5790.0
2021-11-27,S*Isf..Oil.Ref.Co.,5870.0,6020.0,5860.0,5890.0,356416259770,60486481,7517,D,6160.0,5860.0
2021-11-24,S*Isf..Oil.Ref.Co.,6260.0,6320.0,6050.0,6160.0,254364553380,41279159,6516,D,6300.0,6130.0
2021-11-23,S*Isf..Oil.Ref.Co.,6360.0,6420.0,6210.0,6300.0,441310965760,70083677,10282,D,6310.0,6240.0
2021-11-22,S*Isf..Oil.Ref.Co.,6360.0,6360.0,6230.0,6310.0,530396979780,84045621,8406,D,6000.0,6340.0
2021-11-15,S*Isf..Oil.Ref.Co.,11490.0,11490.0,10990.0,11020.0,1451497735330,131677849,18976,D,11560.0,10990.0
2021-11-14,S*Isf..Oil.Ref.Co.,11630.0,11820.0,11360.0,11560.0,686918499060,59446223,13039,D,11530.0,11440.0
2021-11-13,S*Isf..Oil.Ref.Co.,11540.0,11930.0,11490.0,11530.0,1385487029470,120125007,17554,D,12090.0,11580.0
2021-11-10,S*Isf..Oil.Ref.Co.,12030.0,12440.0,11850.0,12090.0,1265425692470,104652762,15498,D,11850.0,12010.0
2021-11-09,S*Isf..Oil.Ref.Co.,11330.0,11880.0,11330.0,11850.0,2190056907560,184764917,14419,D,11320.0,11880.0
2021-11-08,S*Isf..Oil.Ref.Co.,11100.0,11570.0,11010.0,11320.0,920777563560,81339069,12821,D,11470.0,11270.0
2021-11-07,S*Isf..Oil.Ref.Co.,11500.0,11870.0,11130.0,11470.0,1099255449780,95798202,16302,D,11670.0,11220.0
2021-11-06,S*Isf..Oil.Ref.Co.,11550.0,11700.0,11450.0,11670.0,981010148170,84061218,9962,D,11150.0,11560.0
2021-11-03,S*Isf..Oil.Ref.Co.,10950.0,11400.0,10710.0,11150.0,784787370400,70403165,11910,D,10940.0,11300.0
2021-11-02,S*Isf..Oil.Ref.Co.,10800.0,11130.0,10630.0,10940.0,639824600690,58460472,9353,D,10610.0,10970.0
2021-11-01,S*Isf..Oil.Ref.Co.,10300.0,10620.0,10280.0,10610.0,980728033850,92462881,9557,D,10120.0,10620.0
2021-10-31,S*Isf..Oil.Ref.Co.,10410.0,10500.0,10100.0,10120.0,1222025295920,120799062,11051,D,10630.0,10100.0
2021-10-30,S*Isf..Oil.Ref.Co.,11200.0,11200.0,10380.0,10630.0,622219979190,58540500,11016,D,10920.0,10630.0
2021-10-27,S*Isf..Oil.Ref.Co.,10820.0,11150.0,10630.0,10920.0,518088086740,47424256,9350,D,10780.0,11000.0
2021-10-26,S*Isf..Oil.Ref.Co.,10610.0,10960.0,10480.0,10780.0,857749524900,79568913,11803,D,10790.0,10790.0
2021-10-25,S*Isf..Oil.Ref.Co.,10840.0,11260.0,10740.0,10790.0,1307828784310,121240131,17746,D,11300.0,10740.0
2021-10-23,S*Isf..Oil.Ref.Co.,11600.0,11600.0,11290.0,11300.0,518891815600,45924833,4474,D,11880.0,11290.0
2021-10-20,S*Isf..Oil.Ref.Co.,12180.0,12180.0,11720.0,11880.0,1120551188500,94340136,15509,D,12330.0,11940.0
2021-10-19,S*Isf..Oil.Ref.Co.,12460.0,12510.0,12220.0,12330.0,570842450210,46283187,8954,D,12160.0,12240.0
2021-10-18,S*Isf..Oil.Ref.Co.,12000.0,12470.0,11790.0,12160.0,1241935294640,102138305,14785,D,12260.0,12410.0
2021-10-17,S*Isf..Oil.Ref.Co.,12830.0,12830.0,12090.0,12260.0,2147326062650,175198081,22628,D,12720.0,12090.0
2021-10-16,S*Isf..Oil.Ref.Co.,12400.0,13050.0,12400.0,12720.0,3959430757010,311297627,35545,D,12700.0,12760.0
2021-10-13,S*Isf..Oil.Ref.Co.,13020.0,13400.0,12640.0,12700.0,1684706201900,132703439,10161,D,13300.0,12640.0
2021-10-12,S*Isf..Oil.Ref.Co.,13510.0,13560.0,13290.0,13300.0,2224953080860,167276299,14842,D,13980.0,13290.0
2021-10-11,S*Isf..Oil.Ref.Co.,14120.0,14370.0,13710.0,13980.0,1193836739240,85395564,11731,D,14110.0,13800.0
2021-10-10,S*Isf..Oil.Ref.Co.,14000.0,14430.0,13750.0,14110.0,2114109365930,149797345,17794,D,14210.0,14120.0
2021-10-09,S*Isf..Oil.Ref.Co.,14750.0,14820.0,13950.0,14210.0,1967213864550,138482050,18276,D,14680.0,13950.0
2021-10-06,S*Isf..Oil.Ref.Co.,14400.0,14730.0,14390.0,14680.0,3113934339130,212112352,27602,D,14030.0,14710.0
2021-10-04,S*Isf..Oil.Ref.Co.,13400.0,14300.0,13400.0,14030.0,1984174149090,141468747,14953,D,13620.0,14280.0
2021-10-03,S*Isf..Oil.Ref.Co.,13730.0,13890.0,13400.0,13620.0,1189767185680,87358976,10754,D,13760.0,13490.0
2021-10-02,S*Isf..Oil.Ref.Co.,13500.0,13860.0,13500.0,13760.0,2194833653260,159465272,18467,D,13200.0,13860.0
2021-09-29,S*Isf..Oil.Ref.Co.,13100.0,13410.0,12800.0,13200.0,1451223467460,109934781,10988,D,13160.0,13200.0
2021-09-28,S*Isf..Oil.Ref.Co.,13170.0,13490.0,13000.0,13160.0,1190338257780,90438154,12480,D,12980.0,13010.0
2021-09-26,S*Isf..Oil.Ref.Co.,13200.0,13250.0,12710.0,12980.0,1293457629390,99618793,15697,D,13050.0,12950.0
2021-09-25,S*Isf..Oil.Ref.Co.,13030.0,13060.0,12770.0,13050.0,2221267494640,170244153,17592,D,12440.0,13060.0
2021-09-22,S*Isf..Oil.Ref.Co.,12150.0,12680.0,11820.0,12440.0,1726768898330,138802664,17838,D,12080.0,12680.0
2021-09-21,S*Isf..Oil.Ref.Co.,12440.0,12440.0,11810.0,12080.0,953204062320,78917512,10875,D,12420.0,12110.0
2021-09-20,S*Isf..Oil.Ref.Co.,12440.0,12570.0,12300.0,12420.0,500628851890,40294859,8405,D,12270.0,12400.0
2021-09-19,S*Isf..Oil.Ref.Co.,12340.0,12730.0,11960.0,12270.0,926003113120,75480690,11000,D,12560.0,12370.0
2021-09-18,S*Isf..Oil.Ref.Co.,13000.0,13120.0,12490.0,12560.0,1310863882400,104328788,13237,D,13140.0,12490.0
2021-09-15,S*Isf..Oil.Ref.Co.,13340.0,13340.0,13000.0,13140.0,866154416650,65915416,13523,D,13330.0,13110.0
2021-09-14,S*Isf..Oil.Ref.Co.,13200.0,13520.0,13000.0,13330.0,970691558440,72812188,12802,D,12930.0,13320.0
2021-09-13,S*Isf..Oil.Ref.Co.,12970.0,13400.0,12700.0,12930.0,765508113550,59206007,11917,D,13270.0,12950.0
