<DTYYYYMMDD>,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
2021-12-28,Pension.Fund,12970.0,13000.0,12500.0,12680.0,11607412290,912037,220,D,12670.0,12970.0
2021-12-27,Pension.Fund,12800.0,13030.0,12760.0,12670.0,11107445790,859678,191,D,12640.0,12850.0
2021-12-26,Pension.Fund,12650.0,12880.0,12310.0,12640.0,12067946990,963409,240,D,12650.0,12750.0
2021-12-25,Pension.Fund,13160.0,13160.0,12640.0,12650.0,10809760600,846928,234,D,12640.0,12740.0
2021-12-22,Pension.Fund,12410.0,13170.0,12410.0,12640.0,27791912920,2143870,309,D,12550.0,12880.0
2021-12-21,Pension.Fund,13050.0,13050.0,12570.0,12550.0,12431147810,977656,194,D,12530.0,12640.0
2021-12-20,Pension.Fund,12020.0,13150.0,12020.0,12530.0,81038842180,6464344,403,D,12530.0,13150.0
2021-12-19,Pension.Fund,12260.0,12490.0,12220.0,12530.0,20997181070,1712581,213,D,12590.0,12300.0
2021-12-18,Pension.Fund,12220.0,12670.0,12220.0,12590.0,12626852570,1010194,276,D,12600.0,12380.0
2021-12-15,Pension.Fund,12350.0,12750.0,12250.0,12600.0,25039020600,2004444,322,D,12630.0,12250.0
2021-12-14,Pension.Fund,12430.0,12770.0,12020.0,12630.0,42126350800,3345960,424,D,12650.0,12390.0
2021-12-13,Pension.Fund,12330.0,12700.0,12120.0,12650.0,12051786180,975715,248,D,12680.0,12340.0
2021-12-12,Pension.Fund,12150.0,12790.0,12150.0,12680.0,21476772460,1724714,324,D,12730.0,12530.0
2021-12-11,Pension.Fund,12970.0,12970.0,12370.0,12730.0,24357767090,1945659,366,D,12780.0,12390.0
2021-12-08,Pension.Fund,12480.0,13030.0,12480.0,12780.0,31994476580,2489771,400,D,12750.0,12720.0
2021-12-07,Pension.Fund,12880.0,12880.0,12470.0,12750.0,35965553780,2822941,333,D,12750.0,12750.0
2021-12-06,Pension.Fund,12970.0,13050.0,12520.0,12750.0,209980411890,16468527,921,D,12720.0,12810.0
2021-12-05,Pension.Fund,12320.0,12920.0,12320.0,12720.0,26209694750,2051102,299,D,12700.0,12890.0
2021-12-04,Pension.Fund,12900.0,12900.0,12500.0,12700.0,35211969360,2798073,227,D,12750.0,12690.0
2021-12-01,Pension.Fund,12630.0,12970.0,12270.0,12750.0,24024889320,1914603,267,D,12830.0,12890.0
2021-11-30,Pension.Fund,12800.0,12980.0,12550.0,12830.0,19747937390,1556195,165,D,12880.0,12630.0
2021-11-29,Pension.Fund,12420.0,13130.0,12260.0,12880.0,58916933310,4566880,663,D,12830.0,12880.0
2021-11-28,Pension.Fund,12850.0,12850.0,12270.0,12830.0,6139542540,487106,140,D,12850.0,12700.0
2021-11-20,Pension.Fund,18610.0,18870.0,18210.0,18890.0,57225126610,3073418,444,D,19150.0,18390.0
2021-11-17,Pension.Fund,18750.0,19190.0,18750.0,19150.0,20991120650,1101516,209,D,19170.0,18910.0
2021-11-16,Pension.Fund,19120.0,19300.0,18630.0,19170.0,22286716060,1170096,265,D,19200.0,18710.0
2021-11-15,Pension.Fund,19300.0,19330.0,19010.0,19200.0,31652384710,1658364,303,D,19240.0,19330.0
2021-11-14,Pension.Fund,18910.0,19490.0,18910.0,19240.0,49156939960,2557813,262,D,19260.0,19230.0
2021-11-13,Pension.Fund,19280.0,19380.0,19000.0,19260.0,47403573580,2465677,205,D,19280.0,19180.0
2021-11-10,Pension.Fund,19050.0,19580.0,19040.0,19280.0,88128361400,4554779,303,D,19130.0,19420.0
2021-11-09,Pension.Fund,19310.0,19880.0,18910.0,19130.0,33121646040,1714694,226,D,19060.0,19380.0
2021-11-08,Pension.Fund,19000.0,19350.0,18800.0,19060.0,84648482860,4428632,289,D,18950.0,19100.0
2021-11-07,Pension.Fund,19000.0,19280.0,18590.0,18950.0,69664424440,3680540,352,D,18980.0,19060.0
2021-11-06,Pension.Fund,18450.0,19330.0,18450.0,18980.0,82093086600,4275390,404,D,18540.0,19190.0
2021-11-03,Pension.Fund,18410.0,18880.0,18400.0,18540.0,58176380860,3122447,336,D,18440.0,18810.0
2021-11-02,Pension.Fund,18400.0,18740.0,18300.0,18440.0,35613093650,1930357,334,D,18430.0,18430.0
2021-11-01,Pension.Fund,18390.0,18830.0,18300.0,18430.0,10450823160,565550,169,D,18420.0,18400.0
2021-10-31,Pension.Fund,18560.0,18980.0,18110.0,18420.0,95784015230,5235359,503,D,19060.0,18110.0
2021-10-30,Pension.Fund,18690.0,19430.0,18690.0,19060.0,50908518730,2686367,268,D,19150.0,19000.0
2021-10-27,Pension.Fund,19140.0,19490.0,18690.0,19150.0,42954870390,2240520,272,D,19140.0,19000.0
2021-10-26,Pension.Fund,18720.0,19370.0,18720.0,19140.0,43772195980,2287807,258,D,19150.0,19370.0
2021-10-25,Pension.Fund,18680.0,19200.0,18670.0,19150.0,45823395580,2408471,257,D,19230.0,19160.0
2021-10-23,Pension.Fund,19620.0,19990.0,18920.0,19230.0,108060346440,5632227,445,D,19910.0,19010.0
2021-10-20,Pension.Fund,20420.0,20420.0,19660.0,19910.0,21550613550,1079156,306,D,19900.0,19800.0
2021-10-19,Pension.Fund,19500.0,20450.0,19500.0,19900.0,69865001880,3472010,532,D,19640.0,20000.0
2021-10-18,Pension.Fund,19030.0,20160.0,18810.0,19640.0,76326076840,3844320,606,D,19320.0,20000.0
2021-10-17,Pension.Fund,19000.0,19690.0,19000.0,19320.0,79847791580,4123345,397,D,19230.0,19610.0
2021-10-16,Pension.Fund,18410.0,19700.0,18410.0,19230.0,89163463930,4607785,406,D,18910.0,19660.0
2021-10-13,Pension.Fund,18560.0,19080.0,18320.0,18910.0,73339877570,3887444,304,D,18980.0,18870.0
2021-10-12,Pension.Fund,18650.0,19200.0,18510.0,18980.0,68021564450,3618766,412,D,19240.0,18870.0
2021-10-11,Pension.Fund,18980.0,19500.0,18980.0,19240.0,67753272380,3511379,316,D,19160.0,19160.0
2021-10-10,Pension.Fund,18550.0,19300.0,18550.0,19160.0,62143631130,3247510,343,D,19190.0,19290.0
2021-10-09,Pension.Fund,19340.0,19450.0,18450.0,19190.0,44888459630,2369686,439,D,19340.0,18490.0
2021-10-06,Pension.Fund,19110.0,19570.0,19100.0,19340.0,37896981410,1954373,330,D,19320.0,19450.0
2021-10-04,Pension.Fund,18780.0,19400.0,18780.0,19320.0,30599608830,1588961,430,D,19340.0,19390.0
2021-10-03,Pension.Fund,19400.0,19990.0,18700.0,19340.0,59011569970,3048147,573,D,19330.0,18980.0
2021-10-02,Pension.Fund,18500.0,19400.0,18500.0,19330.0,123756162000,6397167,1161,D,18480.0,19380.0
2021-09-29,Pension.Fund,18180.0,18810.0,17710.0,18480.0,148660342260,8042909,654,D,17920.0,18810.0
