<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mellat.Inv..Bank,20200819,18740.00,19400.00,18740.00,18760.00,118540300010,6317848,2060,D,19720.00,18740.00
Mellat.Inv..Bank,20200818,20250.00,20250.00,18900.00,19720.00,543615608080,27572320,12976,D,19290.00,19400.00
Mellat.Inv..Bank,20200817,18050.00,19810.00,18000.00,19290.00,614758467070,31867913,13317,D,18870.00,19800.00
Mellat.Inv..Bank,20200816,19200.00,20000.00,18630.00,18870.00,305631609390,16193921,5732,D,19610.00,18630.00
Mellat.Inv..Bank,20200815,20700.00,21130.00,19130.00,19610.00,800397638860,40818565,13965,D,20130.00,19240.00
Mellat.Inv..Bank,20200812,20780.00,20830.00,18860.00,20130.00,727254846430,36121333,15352,D,19840.00,20550.00
Mellat.Inv..Bank,20200811,19750.00,20690.00,19750.00,19840.00,984190051370,49595144,13217,D,20780.00,19900.00
Mellat.Inv..Bank,20200810,21000.00,21070.00,20100.00,20780.00,1844143513390,88726536,23224,D,20070.00,20650.00
Mellat.Inv..Bank,20200809,20070.00,20070.00,20070.00,20070.00,138839182290,6917747,4326,D,19120.00,20070.00
Mellat.Inv..Bank,20200805,19120.00,19120.00,18310.00,19120.00,484239230460,25332802,9214,D,18210.00,19120.00
Mellat.Inv..Bank,20200804,17700.00,18310.00,17690.00,18210.00,647561331900,35561887,14797,D,17440.00,18310.00
Mellat.Inv..Bank,20200803,18160.00,18160.00,17290.00,17440.00,445852282880,25561582,12899,D,18200.00,17330.00
Mellat.Inv..Bank,20200802,16540.00,18280.00,16540.00,18200.00,689409982410,37875885,11581,D,17410.00,17800.00
Mellat.Inv..Bank,20200801,17410.00,17410.00,17410.00,17410.00,120740195460,6935106,5480,D,16590.00,17410.00
Mellat.Inv..Bank,20200729,15760.00,17060.00,15760.00,16590.00,641608206630,38668296,22950,D,16250.00,17060.00
Mellat.Inv..Bank,20200728,16250.00,16970.00,15730.00,16250.00,500801981720,30825377,17668,D,16190.00,15900.00
Mellat.Inv..Bank,20200727,16400.00,16950.00,15940.00,16190.00,518680609100,32038086,18266,D,16770.00,16020.00
Mellat.Inv..Bank,20200726,17000.00,17000.00,16730.00,16770.00,396575797690,23643358,10047,D,17610.00,16730.00
Mellat.Inv..Bank,20200725,17970.00,17980.00,16990.00,17610.00,572680458970,32528424,18054,D,17200.00,17020.00
Mellat.Inv..Bank,20200722,16010.00,17450.00,16010.00,17200.00,693965759100,40349224,14117,D,16620.00,17450.00
Mellat.Inv..Bank,20200721,16860.00,16890.00,16570.00,16620.00,623493630130,37520046,16800,D,17440.00,16570.00
Mellat.Inv..Bank,20200720,17250.00,17950.00,16800.00,17440.00,821010933950,47083305,21206,D,17170.00,16900.00
Mellat.Inv..Bank,20200719,17790.00,17790.00,16510.00,17170.00,778027159470,45322713,21112,D,17100.00,16630.00
Mellat.Inv..Bank,20200718,16900.00,17420.00,16010.00,17100.00,659751387810,38590093,22260,D,16640.00,17320.00
Mellat.Inv..Bank,20200715,16060.00,16770.00,15980.00,16640.00,607357098370,36492264,16617,D,15980.00,16760.00
Mellat.Inv..Bank,20200714,16350.00,17100.00,15770.00,15980.00,890366574930,55712312,22889,D,16590.00,15770.00
Mellat.Inv..Bank,20200713,16840.00,17620.00,16030.00,16590.00,716625976490,43190537,19701,D,17340.00,16480.00
Mellat.Inv..Bank,20200712,17000.00,17620.00,16030.00,17340.00,896581854560,51696344,21143,D,16790.00,16520.00
Mellat.Inv..Bank,20200711,16530.00,17620.00,16530.00,16790.00,693586245970,41318546,16509,D,17390.00,16850.00
Mellat.Inv..Bank,20200708,17800.00,18000.00,17290.00,17390.00,779225204560,44796780,19356,D,18190.00,17290.00
Mellat.Inv..Bank,20200707,18800.00,18850.00,17800.00,18190.00,1089068295670,59878203,28335,D,18610.00,17840.00
Mellat.Inv..Bank,20200706,18510.00,18640.00,18130.00,18610.00,1337261398170,71868822,21505,D,17760.00,18640.00
Mellat.Inv..Bank,20200705,17210.00,18510.00,16750.00,17760.00,1085867501520,61156469,27628,D,17630.00,18120.00
Mellat.Inv..Bank,20200704,18800.00,19120.00,17300.00,17630.00,1157951271790,65698507,27239,D,18210.00,17310.00
Mellat.Inv..Bank,20200701,18220.00,18220.00,17550.00,18210.00,723280108420,39717107,15098,D,17360.00,18220.00
Mellat.Inv..Bank,20200630,17350.00,17370.00,17000.00,17360.00,562781305740,32412541,22100,D,16550.00,17370.00
Mellat.Inv..Bank,20200629,15950.00,17300.00,15830.00,16550.00,1173921546060,70923658,33942,D,16660.00,17170.00
Mellat.Inv..Bank,20200628,17320.00,17800.00,16440.00,16660.00,1646814200740,98835642,28906,D,17300.00,16440.00
Mellat.Inv..Bank,20200627,17400.00,18250.00,16860.00,17300.00,1422323237030,82208762,29163,D,17720.00,16910.00
Mellat.Inv..Bank,20200624,17460.00,18440.00,17000.00,17720.00,1231532103140,69493738,27713,D,17850.00,17320.00
Mellat.Inv..Bank,20200623,17970.00,17970.00,17200.00,17850.00,1187806638970,66534104,17905,D,17120.00,17290.00
Mellat.Inv..Bank,20200622,16260.00,17960.00,16260.00,17120.00,2592360855810,151445983,48053,D,17110.00,17960.00
Mellat.Inv..Bank,20200621,17110.00,17110.00,17110.00,17110.00,253501058490,14815959,7346,D,18010.00,17110.00
Mellat.Inv..Bank,20200620,18320.00,18320.00,17000.00,18010.00,2318237024230,128747402,51089,D,17450.00,17590.00
Mellat.Inv..Bank,20200616,17450.00,17450.00,17450.00,17450.00,153008440400,8768392,6392,D,16620.00,17450.00
Mellat.Inv..Bank,20200613,16810.00,16810.00,16810.00,16620.00,39841683580,2370118,2446,D,16014.00,16810.00
