<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zagros.Kosar.Power,20201215,13974.00,13974.00,13974.00,14457.00,17095414302,1223373,108,D,14709.00,13974.00
Zagros.Kosar.Power,20201214,15574.00,15574.00,14476.00,14709.00,129010350300,8770742,2413,D,15237.00,14476.00
Zagros.Kosar.Power,20201213,14809.00,15367.00,14150.00,15237.00,463801086578,30440032,6120,D,14636.00,15170.00
Zagros.Kosar.Power,20201212,14110.00,14696.00,14110.00,14636.00,428745037400,29294818,5204,D,13997.00,14690.00
Zagros.Kosar.Power,20201209,13830.00,14695.00,13650.00,13997.00,299717649861,21413072,4838,D,14280.00,13900.00
Zagros.Kosar.Power,20201208,14850.00,14850.00,13800.00,14280.00,234467455595,16419675,4217,D,14466.00,13961.00
Zagros.Kosar.Power,20201207,14538.00,14538.00,13920.00,14466.00,686441730751,47453036,6667,D,13846.00,14500.00
Zagros.Kosar.Power,20201206,13799.00,13860.00,13620.00,13846.00,240494546714,17369001,2435,D,13200.00,13860.00
Zagros.Kosar.Power,20201205,13010.00,13900.00,12807.00,13200.00,544111442289,41221405,8051,D,13481.00,13610.00
Zagros.Kosar.Power,20201202,13500.00,14000.00,13413.00,13481.00,231376440485,17162759,3636,D,14118.00,13413.00
Zagros.Kosar.Power,20201201,13650.00,14600.00,13600.00,14118.00,382067133155,27062872,5731,D,14227.00,13710.00
Zagros.Kosar.Power,20201130,15550.00,15550.00,14093.00,14227.00,953716528230,67037322,10447,D,14834.00,14093.00
Zagros.Kosar.Power,20201129,14966.00,14966.00,14966.00,14834.00,43533459984,2908824,517,D,14254.00,14966.00
Zagros.Kosar.Power,20201128,13293.00,14691.00,13293.00,14254.00,1128837282810,79192911,10821,D,13992.00,14691.00
Zagros.Kosar.Power,20201125,13374.00,13374.00,13374.00,13992.00,5713921134,427241,90,D,14077.00,13374.00
Zagros.Kosar.Power,20201124,13397.00,13397.00,13397.00,14077.00,1657074930,123690,57,D,14102.00,13397.00
